group,filename,pred_prob,pred_label,rank_in_group,is_top_of_group,filename_norm,stamp_path,cx,cy,folder,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,dist,is_truth,asteroid_folder
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000000.npz,0.17041102,0,9,0,test/20231105_2023_VY1__csv__f2__0000000.npz,test/20231105_2023_VY1__csv__f2__0000000.npz,264.0923811115391,302.32903614508183,20231105_2023_VY1,265.22809108241216,304.1548711125181,265.0923811115391,303.32903614508183,264.9944824796528,302.5556519243512,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000001.npz,0.002004822,0,51,0,test/20231105_2023_VY1__csv__f2__0000001.npz,test/20231105_2023_VY1__csv__f2__0000001.npz,349.7223413931681,502.97729546111776,20231105_2023_VY1,373.0727326696153,502.1062032302885,350.7223413931681,503.97729546111776,328.15651976485464,505.9416586425071,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000002.npz,0.06107837,0,24,0,test/20231105_2023_VY1__csv__f2__0000002.npz,test/20231105_2023_VY1__csv__f2__0000002.npz,489.2760479872542,457.9217684411958,20231105_2023_VY1,502.6916935126653,408.0889161135419,490.2760479872542,458.9217684411958,478.0760640963289,509.44155968579673,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000003.npz,0.0027536326,0,49,0,test/20231105_2023_VY1__csv__f2__0000003.npz,test/20231105_2023_VY1__csv__f2__0000003.npz,486.2530173072537,506.93471084577226,20231105_2023_VY1,467.5742890255973,508.90266103333954,487.2530173072537,507.93471084577226,506.6787632643628,507.2472481422599,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000004.npz,0.05538253,0,25,0,test/20231105_2023_VY1__csv__f2__0000004.npz,test/20231105_2023_VY1__csv__f2__0000004.npz,394.2267736224206,192.91729581227864,20231105_2023_VY1,394.4553207819764,194.2557720195149,395.2267736224206,193.91729581227864,395.41367181286193,193.8754177408575,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000005.npz,0.062063195,0,23,0,test/20231105_2023_VY1__csv__f2__0000005.npz,test/20231105_2023_VY1__csv__f2__0000005.npz,410.7914503584412,351.3790214650858,20231105_2023_VY1,316.2372492803755,345.7848547752354,411.7914503584412,352.3790214650858,507.54693310002426,358.3667660910976,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000006.npz,0.0063572666,0,46,0,test/20231105_2023_VY1__csv__f2__0000006.npz,test/20231105_2023_VY1__csv__f2__0000006.npz,392.5479779999312,503.70668485403496,20231105_2023_VY1,444.9077145403892,501.0762117661001,393.5479779999312,504.70668485403496,342.9424566126614,508.5314111205264,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000007.npz,0.015767712,0,40,0,test/20231105_2023_VY1__csv__f2__0000007.npz,test/20231105_2023_VY1__csv__f2__0000007.npz,334.48601003841907,506.89484655643867,20231105_2023_VY1,384.47439302759904,508.402255407899,335.48601003841907,507.89484655643867,287.6490453048606,507.0699671053888,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000008.npz,0.0019974639,0,52,0,test/20231105_2023_VY1__csv__f2__0000008.npz,test/20231105_2023_VY1__csv__f2__0000008.npz,257.9036928476608,508.71601016079177,20231105_2023_VY1,394.89112180134657,510.3731754736883,258.9036928476608,509.71601016079177,123.6047555984072,508.4404524574808,0.0,False,20231105_2023_VY1
test,20231105_2023_VY1/test/20231105_2023_VY1__csv__f2__0000009.npz,0.026593592,0,34,0,test/20231105_2023_VY1__csv__f2__0000009.npz,test/20231105_2023_VY1__csv__f2__0000009.npz,33.11918407057573,429.4805022994535,20231105_2023_VY1,60.61368606538113,368.38814591770125,34.11918407057573,430.4805022994535,8.494155373014195,491.68865883293296,0.0,False,20231105_2023_VY1
