folder,f1,f2,f3,gmag1,gmag2,gmag3,is_truth_geom,pred_prob,gb_confidence,hybrid_score
20231105_2023_VY1,"(265.22809108241216, 304.15487111251815)","(265.0923811115391, 303.32903614508183)","(264.9944824796528, 302.5556519243512)",18.747158655895102,18.86791209422932,18.880052376091584,False,0.17041102,0.56434745,0.48024872499999993
20231105_2023_VY1,"(373.0727326696153, 502.10620323028854)","(350.7223413931681, 503.97729546111776)","(328.15651976485464, 505.9416586425071)",18.670896667250844,18.88453295260839,18.59719679962533,False,0.002004822,0.9957561,0.698031681
20231105_2023_VY1,"(502.6916935126653, 408.0889161135419)","(490.2760479872542, 458.9217684411958)","(478.0760640963289, 509.44155968579673)",17.15353429886173,21.061148162544573,18.4688332511166,False,0.06107837,4.1464086e-06,0.03054208748602
20231105_2023_VY1,"(467.57428902559724, 508.90266103333954)","(487.2530173072537, 507.93471084577226)","(506.67876326436283, 507.2472481422599)",18.483657574006745,18.30625816595857,14.598574756387604,False,0.0027536326,1.0988916e-05,0.0013845085412
20231105_2023_VY1,"(394.4553207819764, 194.25577201951486)","(395.2267736224206, 193.91729581227864)","(395.41367181286193, 193.8754177408575)",19.07208450679958,18.893540113488903,18.98130632830541,False,0.05538253,3.0553903e-05,0.0277126527321
20231105_2023_VY1,"(316.2372492803755, 345.7848547752354)","(411.7914503584412, 352.3790214650858)","(507.54693310002426, 358.36676609109753)",19.19379950767078,19.769904719346894,18.999829771992346,False,0.062063195,1.8976492e-05,0.0310448810444
20231105_2023_VY1,"(444.9077145403892, 501.07621176610013)","(393.54797799993116, 504.70668485403496)","(342.9424566126614, 508.5314111205264)",16.515949003807933,18.657235160846263,18.617828448360548,False,0.0063572666,4.9456644e-06,0.00318209526508
20231105_2023_VY1,"(384.47439302759904, 508.402255407899)","(335.48601003841907, 507.89484655643867)","(287.6490453048606, 507.06996710538874)",18.495207025096448,18.565192233873493,18.49882583422076,False,0.015767712,0.9890026,0.7001856759999999
20231105_2023_VY1,"(394.89112180134657, 510.3731754736883)","(258.9036928476608, 509.71601016079177)","(123.6047555984072, 508.4404524574808)",18.72010898516695,18.93830268100137,18.736728128470133,False,0.0019974639,0.011334917,0.00893317385
20231105_2023_VY1,"(60.61368606538113, 368.38814591770125)","(34.11918407057573, 430.4805022994535)","(8.494155373014195, 491.68865883293296)",18.697043302501022,19.72210890996042,19.65676433928273,False,0.026593592,2.9090126e-05,0.0133171590882
20231105_2023_VY1,"(183.2593830205947, 308.3364365987778)","(166.8769685547759, 319.5808900520627)","(149.45557058980117, 330.57426766868366)",19.14269612787422,18.998470319853755,18.95613210880894,True,0.40090185,0.8652929,0.8061559549999999
